Component	               Component Pin	        Arduino Pin
Motor driver (L298N)	      IN3	                    D10	
Motor driver (L298N)	      IN4	                    D11
Motor driver (L298N)	      ENB	                    D8	
Relay module	            Signal	                    D7	
Buzzer			              +	                        D12
Flame sensor 1		          D0	                    D2
Flame sensor 2		          D0	                    D3
Flame sensor 3		          D0	                    D4
Flame sensor 4		          D0	                    D5
Flame sensor 5		          D0	                    D6
Servo motor		              Signal	                D9	
Smoke sensor (MQ-2)	          D0	                    A0
Built-in LED		           —	                    D13 (onboard)
All VCC pins		           —    	                5V
All GND pins		           —	                    GND
